Region,Instance ID,Instance Name,Instance Type,State,Public IP,Private IP,Launch Time
us-east-1,i-0f1d7999911441b78,zscaler-Elastic7_Manual_02_In_Use,t3.medium,running,44.201.189.61,172.31.4.27,2024-05-25 06:47:05+00:00
us-east-1,i-0b03eb51f71f9ed5f,ECS Instance - EC2ContainerService-codescan-zscaler,t2.2xlarge,running,44.206.222.106,172.31.7.199,2024-05-26 08:13:49+00:00
us-east-1,i-0cce08b132c134642,N/A,m4.2xlarge,running,54.91.190.36,172.31.2.240,2024-06-17 00:06:30+00:00
us-east-1,i-0e4894b9d979d2bb9,N/A,m4.2xlarge,running,52.70.207.229,172.31.9.18,2024-06-24 00:46:25+00:00
us-east-1,i-0f318f1b31d2d3726,codescan-metlife-prd,c5.4xlarge,running,N/A,10.0.103.219,2024-08-28 21:33:37+00:00
us-east-1,i-083ab8a3f1cea7ea1,ECS Instance - EC2ContainerService-codescanng,c5.4xlarge,running,18.211.102.177,172.31.14.164,2024-09-07 03:00:11+00:00
us-east-1,i-0ec01eff512380964,TDA-Elastic7_Manual_01_In Use,t3.medium,running,54.208.185.89,172.31.22.92,2024-08-02 01:21:31+00:00
us-east-1,i-07011172e0d12d08b,TDA-Elastic7_Manual_02_In Use,t3.medium,running,3.228.17.63,172.31.20.200,2024-08-02 01:21:31+00:00
us-east-1,i-090c5f439bd472d77,quickscan-env,t4g.micro,running,34.202.0.112,172.31.24.190,2024-08-13 04:48:57+00:00
us-east-1,i-01de187eba55a2c25,ECS Instance - EC2ContainerService-codescan-greatamerica,c5.4xlarge,running,44.205.12.185,172.31.20.207,2024-08-22 07:22:08+00:00
us-east-1,i-03cc4f82b771dcaf8,N/A,m4.2xlarge,running,44.193.28.143,172.31.25.137,2024-10-08 18:00:50+00:00
us-east-1,i-072d73cb96ff722f6,ECS Instance - EC2ContainerService-codescan-aligntech,c5.4xlarge,running,54.147.239.34,172.31.6.242,2024-11-21 08:36:32+00:00
