Region,Instance ID,Instance Name,Instance Type,State,Public IP,Private IP,Launch Time
eu-west-2,i-0a50f806995109064,eu17-agent.autorabit.com,r5.large,running,18.171.14.21,172.31.14.22,2024-02-06 01:30:06+00:00
eu-west-2,i-0467df91a62c25477,eu17.autorabit.com,r5.xlarge,running,52.56.217.128,172.31.13.230,2024-02-06 01:27:15+00:00
me-central-1,i-086f7a4967d19ea41,uae1.autorabit.com,r5.xlarge,running,51.112.6.83,172.31.4.81,2024-05-27 14:20:59+00:00
me-central-1,i-025ce8226b99b04fe,uae1-agent.autorabit.com,r5.large,running,51.112.106.232,172.31.8.121,2024-05-27 14:20:59+00:00
ca-central-1,i-0e269ae9b67016cdc,desjardins.autorabit.com,r5.2xlarge,running,99.79.96.174,172.16.0.145,2024-02-10 03:53:42+00:00
ca-central-1,i-01fb50eb7e5507d24,CA3.autorabit.com,r5.2xlarge,running,15.222.116.26,172.16.0.205,2023-10-01 07:18:57+00:00
ca-central-1,i-0eb2b2e8571e5fa7f,ca5.autorabit.com,r5.2xlarge,running,15.222.225.101,172.16.0.112,2024-06-02 23:24:03+00:00
ca-central-1,i-0d6ba8228bafa70eb,desjardins-agent.autorabit.com,r5.large,running,15.222.206.174,172.16.0.139,2024-02-10 03:54:44+00:00
ca-central-1,i-02fe7282929fb3064,nbc.autorabit.com,m5.2xlarge,running,15.223.126.92,10.4.3.152,2023-11-11 00:35:17+00:00
ca-central-1,i-0079eb0f3d0f51355,ca3-agent.autorabit.com,r5.large,running,35.182.15.200,172.16.0.76,2023-10-01 07:18:04+00:00
ca-central-1,i-0dd64123cbbd264da,postgresconnect,t2.micro,running,3.96.146.161,192.1.1.18,2023-10-06 08:48:20+00:00
ca-central-1,i-004f61525928277cf,platform-prd-fleet2,t4g.large,running,N/A,192.1.6.183,2024-08-25 08:22:19+00:00
ca-central-1,i-000bbb84f67dc2d38,platform-prd-fleet1,t4g.large,running,N/A,192.1.5.81,2024-08-25 08:22:17+00:00
ap-southeast-1,i-04ad3539acac70860,ap5.autorabit.com,r5.2xlarge,running,18.140.193.182,10.20.30.116,2023-09-24 07:59:47+00:00
ap-southeast-1,i-071b4f929dfe175ca,ap5-agent1.autorabit.com,r5.large,running,13.251.184.249,10.20.30.38,2023-09-24 10:16:38+00:00
ap-southeast-1,i-0730c54d6009bc642,platform-dev-fleet1,t4g.medium,running,N/A,10.20.35.19,2024-08-25 07:09:34+00:00
ap-southeast-1,i-09cabc4de330f5a3c,platform-dev-fleet2,t4g.medium,running,N/A,10.20.36.130,2024-08-25 07:09:33+00:00
ap-southeast-2,i-0f9d92d386bbaaeb6,qantas.autorabit.com,r5.2xlarge,running,52.64.226.91,172.31.2.199,2023-10-02 07:42:57+00:00
ap-southeast-2,i-047e382ec38865cfe,gitlab-qantas.autorabit.com,t2.large,running,13.237.125.226,172.31.4.35,2019-12-13 09:55:37+00:00
ap-southeast-2,i-00054eb90f48d22ec,ap3.autorabit.com,r5.2xlarge,running,13.55.57.56,172.31.10.1,2024-05-12 08:12:57+00:00
ap-southeast-2,i-0d4f722d6e56bb240,qantas-agent,r5.large,running,3.104.139.186,172.31.7.198,2023-10-02 07:45:36+00:00
ap-southeast-2,i-0f9248083ee680f41,ap7.autorabit.com,r5.2xlarge,running,54.206.54.168,172.31.5.169,2023-10-29 07:19:54+00:00
ap-southeast-2,i-070aee53d56bf3eeb,ap7-agent.autorabit.com,r5.large,running,52.64.126.21,172.31.4.80,2023-10-29 07:19:54+00:00
ap-southeast-2,i-0121caafbe0fb2961,asbbank.autorabit.com,r5.2xlarge,running,13.237.166.180,172.31.7.45,2023-09-09 06:09:04+00:00
