Region,Instance ID,Instance Name,Instance Type,State,Public IP,Private IP,Launch Time
us-west-2,i-0f7ba2c2f61e5b40c,ElasticSearch-ConsumerAgentDev-1,t3.medium,running,35.163.248.199,172.31.15.158,2023-11-24 12:14:00+00:00
us-west-2,i-0bfafba808326b9b2,GitHub Enterprise,t2.2xlarge,running,52.42.232.197,172.31.10.218,2024-08-02 16:29:07+00:00
us-west-2,i-027682936f82735ca,Marketing_Tools,t4g.large,running,34.211.161.101,172.31.24.74,2024-01-20 23:07:00+00:00
us-west-2,i-0d07ac0f8d468cc59,arm-s3-codescan-test-vm,t2.micro,running,34.209.44.77,172.31.8.49,2024-04-29 05:45:03+00:00
us-west-2,i-0984369b228700fd9,Dependancy-Track,t2.2xlarge,running,34.209.214.165,172.35.1.19,2024-08-22 15:29:08+00:00
us-west-2,i-0424314de0ee7b2cb,ar-dev-backend,t2.2xlarge,running,54.212.112.116,10.0.15.240,2024-07-30 08:24:46+00:00
us-west-2,i-091bb5677916fbda9,Bitbucket-2024,c5.xlarge,running,54.184.159.213,10.0.3.176,2024-09-29 18:37:55+00:00
us-west-2,i-0381c6ab6509538b1,GitLab,m6g.medium,running,35.161.35.247,10.0.1.168,2024-10-12 01:24:40+00:00
us-west-2,i-02411ee0fd3d44d5d,N/A,t2.medium,running,54.184.8.199,10.0.7.102,2024-09-25 02:06:46+00:00
us-west-2,i-0864ea07234643f6e,gitlab-poc,c5.xlarge,running,34.219.229.49,10.0.2.18,2024-10-12 22:38:54+00:00
us-west-2,i-06849f312646a5325,N/A,t2.medium,running,35.92.83.62,10.0.7.146,2024-11-01 06:26:07+00:00
us-west-2,i-0175f71673febab4f,N/A,t4g.medium,running,N/A,10.0.139.237,2024-11-03 10:01:11+00:00
us-west-2,i-0b628d5b7f43c2b67,ARM-TEST,r5.2xlarge,running,44.243.170.107,172.31.4.170,2024-11-04 11:25:01+00:00
