ResourceType,Region,Identifier,Status,Role,Engine,Size,MultiAZ,CreationDate
Instance,eu-west-2,eu107-mysql-8,available,Primary,aurora-mysql,db.r6g.large,False,2024-09-24 05:25:42
Cluster,eu-west-2,eu107-mysql-8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-24 04:57:07
Instance,ca-central-1,ca105-vault-prod-mysql-8,available,Primary,aurora-mysql,db.r5.large,False,2024-09-24 05:21:18
Cluster,ca-central-1,ca105-vault-prod-mysql-8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-24 04:37:59
Instance,ap-southeast-2,ap102mysql8,available,Primary,aurora-mysql,db.r5.xlarge,False,2024-10-09 04:48:28
Instance,ap-southeast-2,ap109-mysql8,available,Primary,aurora-mysql,db.t4g.large,False,2024-09-25 05:18:57
Instance,ap-southeast-2,asb-db-instance-1,available,Primary,aurora-mysql,db.t2.medium,False,2021-02-21 02:43:42
Cluster,ap-southeast-2,ap102mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-10-09 04:04:59
Cluster,ap-southeast-2,ap109-mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-25 04:47:51
Cluster,ap-southeast-2,asb-db,available,Primary,aurora-mysql,N/A,False,2021-02-21 02:39:04
Instance,eu-central-1,baxter-mysql8,available,Primary,aurora-mysql,db.r6g.large,False,2024-10-25 06:11:25
Instance,eu-central-1,eu104-mysql-8,available,Primary,aurora-mysql,db.r6g.large,False,2024-09-24 05:46:36
Cluster,eu-central-1,baxter-mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-10-25 05:38:27
Cluster,eu-central-1,eu104-mysql-8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-24 04:51:31
Instance,us-east-1,jefferies-instance-1,available,Primary,aurora-mysql,db.t2.medium,False,2021-04-13 10:46:09
Instance,us-east-1,vault-onpremise,available,Primary,aurora-mysql,db.t4g.medium,False,2024-02-19 12:45:50
Cluster,us-east-1,jefferies,available,Primary,aurora-mysql,N/A,False,2021-04-13 10:41:00
Cluster,us-east-1,vault-onpremise,available,Primary,aurora-mysql,N/A,False,2024-02-19 12:38:38
Instance,us-east-2,farm-credit-mysql8,available,Primary,aurora-mysql,db.t3.medium,False,2024-10-27 02:01:17
Instance,us-east-2,firstunitbank-vaultmysql8v,available,Primary,aurora-mysql,db.t3.medium,False,2024-11-10 08:23:28
Instance,us-east-2,quest-mysql-8,available,Primary,aurora-mysql,db.t3.medium,False,2024-10-19 06:03:08
Cluster,us-east-2,farm-credit-mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-10-27 01:30:16
Cluster,us-east-2,firstunitbank-vaultmysql8v-cluster,available,Primary,aurora-mysql,N/A,False,2024-11-10 07:54:31
Cluster,us-east-2,quest-mysql-8-cluster,available,Primary,aurora-mysql,N/A,False,2024-10-19 05:28:43
Instance,us-west-2,na101-mysql8,available,Primary,aurora-mysql,db.r5.xlarge,False,2024-09-25 05:14:47
Instance,us-west-2,na108-mysql8,available,Primary,aurora-mysql,db.r6g.large,False,2024-09-25 05:21:58
Cluster,us-west-2,na101-mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-25 04:38:33
Cluster,us-west-2,na108-mysql8-cluster,available,Primary,aurora-mysql,N/A,False,2024-09-25 04:42:04
